id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,retweet,user_rt,mentions
1007278616244359168,2018-06-14,12:08:31,-03,14573456,gionninanni,"@HenryK_B_ Not useful to displace co2, not enough to supply energy, not cheap nor clean or kind to the planet... #asuckerisborneveryminute",0,0,0,,#asuckerisborneveryminute,https://twitter.com/gionninanni/status/1007278616244359168,,None,HenryK_B_
1007278528847601666,2018-06-14,12:08:10,-03,745919439565103105,PolicyTRAN,New item on TRAN Committee site: Amendments 223 - 245 - Promotion of clean and energy-efficient road transport vehicles - PE 622.314v01-00 - Committee on Transport and Tourism  https://ift.tt/2MtUt1Y ,0,0,0,,,https://twitter.com/PolicyTRAN/status/1007278528847601666,,None,
1007278472681742338,2018-06-14,12:07:56,-03,23625211,VentureFizz,".  @REsurety focuses on enabling more profitable clean energy through better risk management by using big data, financial engineering, and physical science. Check out their #BIZZpage for the latest job openings! http://bit.ly/2sVF5U8 ",0,0,0,,#BIZZpage,https://twitter.com/VentureFizz/status/1007278472681742338,,None,REsurety
1007278470601367555,2018-06-14,12:07:56,-03,1007276255526510592,TestAcc77030208,"Investments in energy storage help to maximize the value of new clean energy generation and reduce costs to consumers during peak energy usage. To that end, the bill tasks DOER to consider setting appropriate targets for distribution companies to procure cost-effective energy  pic.twitter.com/qtd6oIy1R9",0,0,0,,,https://twitter.com/TestAcc77030208/status/1007278470601367555,,None,
1007278437604589568,2018-06-14,12:07:48,-03,45261535,gasfuel,"PUCO chief on how new technology will benefit Ohio energy consumers, plus regulating the 'clean energy revolution' #ur http://oil.fuelspace.com/2018/06/14/puco-chief-on-how-new-technology-will-benefit-ohio-energy-consumers-plus-regulating-the-clean-energy-revolution/ …",0,0,0,,#ur,https://twitter.com/gasfuel/status/1007278437604589568,,None,
1007278342171586560,2018-06-14,12:07:25,-03,793151238183399424,JGofGG,"@abdel1019 @phxbizjournal @CleanHealthyAZ No one needs great and scare tactics to understand ""clean energy"" is more expensive even with government subsidies. And it is not sufficient to meet our true power needs.",0,0,0,,,https://twitter.com/JGofGG/status/1007278342171586560,,None,"CleanHealthyAZ,phxbizjournal,abdel1019"
1007278294461501440,2018-06-14,12:07:14,-03,14841371,a_smith,"@VegaTeam I can't seem to find Clean Energy, Berry Infusion any place has it been discontinued",0,0,0,,,https://twitter.com/a_smith/status/1007278294461501440,,None,VegaTeam
1007278024742453249,2018-06-14,12:06:10,-03,3242998813,wcg5xn,"Sucking carbon out of the air won’t solve climate change: But it might fill in a few key pieces of the clean energy puzzle. Climate change is caused by putting carbon dioxide into the atmosphere. What if, instead, we took it out? The idea of pulling…  https://www.vox.com/energy-and-environment/2018/6/14/17445622/direct-air-capture-air-to-fuels-carbon-dioxide-engineering?utm_source=dlvr.it&utm_medium=twitter …",0,0,0,,,https://twitter.com/wcg5xn/status/1007278024742453249,,None,
1007277986205188096,2018-06-14,12:06:00,-03,36353238,markcojuangco,"@luisbaram They ought to rebrand it as “clean energy” CE, and drop the <Emoji: Horse face><Emoji: Pile of poo>, <Emoji: Ox><Emoji: Pile of poo>, and <Emoji: Rooster><Emoji: Pile of poo>.It might become useful then.",0,0,0,,,https://twitter.com/markcojuangco/status/1007277986205188096,,None,luisbaram
1007277909634113542,2018-06-14,12:05:42,-03,1007276255526510592,TestAcc77030208,"Investments in energy storage help to maximize the value of new clean energy generation and reduce costs to consumers during peak energy usage. To that end, the bill tasks DOER to consider setting appropriate targets for distribution companies to procure cost-effective energy  pic.twitter.com/3Fuj6syfXG",0,0,0,,,https://twitter.com/TestAcc77030208/status/1007277909634113542,,None,
1007277895545389059,2018-06-14,12:05:39,-03,859448593878568964,CleanEnergyBiz,"Xcel Energy in Colorado plans to supplant its coal energy with #cleanenergy alternatives, such as wind, solar and natural gas. Their rationale? Lower costs for customers, themselves, and $2.5 billion in investment across the region.  http://bit.ly/XcelCE ",0,0,0,,#cleanenergy,https://twitter.com/CleanEnergyBiz/status/1007277895545389059,,None,
1007277775575830528,2018-06-14,12:05:10,-03,3301762130,FixCARoads,"Eliminating state transportation funds would jeopardize investments in clean transit! @SantaCruzMETRO purchased 18 new clean energy buses and vans, & plans to supply more, but these investments could be at risk with a potential Nov. ballot measure!  http://ow.ly/ytrd30kiEcf ",0,0,0,,,https://twitter.com/FixCARoads/status/1007277775575830528,,None,SantaCruzMETRO
1007277277917392896,2018-06-14,12:03:12,-03,2954023511,Tech_Scale,A big day for #FuelCells in Connecticut! Exciting to see more deployments in our home state @FuelCell_Energy @DoosanFuelCell @Bloom_Energy #CleanEnergy  https://twitter.com/hartfordbiz/status/1006948220524691456 …,0,0,0,,"#FuelCells,#CleanEnergy",https://twitter.com/Tech_Scale/status/1007277277917392896,,None,"FuelCell_Energy,DoosanFuelCell,Bloom_Energy"
